abbostford,sur,oeste,britishCol,canada,america
acapulco,sur,oeste,guerrero,mexico,america
aguascalientes,norte ,centro,aguascalientes,mexico,america
anchorage,norte,oeste,alaska,usa,america
atlanta,sur,este,georgia,usa,america
bagotville,sur,este,quebec,canada,america
baieComeau,sur,este,quebec,canada,america
bajio,norte,centro,guanajuato,mexico,america
baltimore,norte,este,maryLand,usa,america
bathurst,sur,este,quebec,canada,america
boston,norte,este,massachusetts,usa,america
calgary,sur,oeste,alberta,canada,america
campeche,sur,este,campeche,mexico,america
cancun,sur,este,quintanaRoo,mexico,america
castlegar,sur,oeste,britishCol,canada,america
cdCarmen,sur,este,quintanaRoo,mexico,america
cdJuarez,norte,oeste,chihuahua,mexico,america
cdmx,sur,centro,cdmx,mexico,america
cdObregon,norte,oeste,sonora,mexico,america
charlottetown,sur,este,quebec,canada,america
chetumal,sur,este,quintanaRoo,mexico,america
chicago,norte,este,illinois,usa,america
chihuahua,norte,oeste,chihuahua,mexico,america
cincinnati,norte,este,ohio,usa,america
cleveland,norte,este,ohio,usa,america
cmdx,sur,centro,cdmx,mexico,america
comox,sur,oeste,britishCol,canada,america
cozumel,sur,este,quintanaRoo,mexico,america
cranbrook,sur,oeste,britishCol,canada,america
culiacan,norte,oeste,sinaloa,mexico,america
dallas,sur,oeste,texas,usa,america
deerLake,sur,este,florida,usa,america
denver,centro,oeste,colorado,usa,america
detroit,norte,este,michigan,usa,america
durango,norte,oeste,durango,mexico,america
durham,sur,este,ontario,canada,america
edmonton,sur,oeste,alberta,canada,america
forthStJohn,sur,oeste,britishCol,canada,america
fortMcMurray,sur,oeste,alberta,canada,america
fortMyers,sur,este,florida,usa,america
fredericton,sur,este,quebec,canada,america
fukuoka,sur,oeste,kOkinawa,japon,asia
gander,norte,este,newFoundLand,canada,america
gaspe,sur,este,quebec,canada,america
gooseBay,norte,este,newFoundLand,canada,america
grandePrairie,sur,oeste,alberta,canada,america
guadalajara,centro,oeste,jalisco,mexico,america
halifax,sur,este,quebec,canada,america
haneda,centro,este,tokyo,japon,asia
hartford,norte,este,connecticut,usa,america
hermosillo,norte,oeste,sonora,mexico,america
hilo,sur,este,hawaii,usa,america
honolulu,norte,centro,oahu,usa,america
houston,sur,oeste,texas,usa,america
huatulco,sur,oeste,oaxaca,mexico,america
ilesMadeleine,sur,este,quebec,canada,america
kahului,norte,este,maui,usa,america
kailuaKona,sur,este,hawaii,usa,america
kamloops,sur,oeste,britishCol,canada,america
kelowna,sur,oeste,britishCol,canada,america
kingston,sur,este,ontario,canada,america
laPaz,norte,oeste,bCS,mexico,america
lasVegas,centro,oeste,nevada,usa,america
lauderdale,sur,este,florida,usa,america
leon,norte,centro,guanajuato,mexico,america
lethbridge,sur,oeste,alberta,canada,america
lihue,norte,oeste,kauai,usa,america
london,sur,este,ontario,canada,america
losAngeles,centro,oeste,california,usa,america
losCabos,norte,oeste,bCS,mexico,america
losMochis,norte ,oeste,sinaloa,mexico,america
manzanillo,centro,oeste,colima,mexico,america
matamoros,norte,este,tamaulipas,mexico,america
mazatlan,norte,oeste,sinaloa,mexico,america
medicineHat,sur,oeste,alberta,canada,america
merida,sur,este,yucatan,mexico,america
mexicali,norte,oeste,bajaCalifornia,mexico,america
miami,sur,este,florida,usa,america
minatitlan,centro,este,veracuz,mexico,america
moncton,sur,este,ontario,canada,america
monterrey,norte ,este,nvoLeon,mexico,america
montJoli,sur,este,quebec,canada,america
montreal ,sur,este,quebec,canada,america
morelia,centro,oeste,michoacan,mexico,america
nagoya,centro,oeste,aichi,japon,asia
nanaimo,sur,oeste,britishCol,canada,america
narita,centro,este,tokyo,japon,asia
newark,norte,este,nuevaJersey,usa,america
northBay,sur,este,ontario,canada,america
nuevaYork,norte,este,nuevaYork,usa,america
nuevoLaredo,norte,este,tamaulipas,mexico,america
oakland,centro,oeste,california,usa,america
oaxaca,sur,oeste,oaxaca,mexico,america
okinawa,sur,oeste,kOkinawa,japon,asia
orlando,sur,este,florida,usa,america
osaka,centro,oeste,kansal,japon,asia
ottawa,sur,este,ontario,canada,america
palenque,sur,este,chiapas,mexico,america
palmSprings,centro,oeste,california,usa,america
penticton,sur,oeste,britishCol,canada,america
philadelphia,norte,este,pensilvania,usa,america
phoenix,sur,oeste,arizona,usa,america
pittsburgh,norte,este,pensilvania,usa,america
portland,norte,oeste,oregon,usa,america
princeGeorge,sur,oeste,britishCol,canada,america
princeRupert,sur,oeste,britishCol,canada,america
ptoEscondido,sur,oeste,oaxaca,mexico,america
ptoVallarta,centro,oeste,jalisco,mexico,america
puebla,centro,este,puebla,mexico,america
quebec,sur,este,quebec,canada,america
queretaro,norte,centro,queretaro,mexico,america
raleigh,centro,este,carolinaNte,usa,america
regina,sur,centro,saskatchewan,canada,america
reynosa,norte,este,tamaulipas,mexico,america
rouynNoranda,sur,este,quebec,canada,america
saltillo,norte,oeste,coahuila,mexico,america
samia,sur,este,ontario,canada,america
sanAntonio,sur,oeste,texas,usa,america
sanDiego,centro,oeste,california,usa,america
sandspit,sur,oeste,britishCol,canada,america
sanFrancisco,centro,oeste,california,usa,america
sanJose,centro,oeste,california,usa,america
sapporo,norte,este,hokkaido,japon,asia
saskatoon,sur,centro,saskatchewan,canada,america
saultSteMarie,sur,este,ontario,canada,america
seattle,norte,oeste,washington,usa,america
septIles,sur,este,quebec,canada,america
shangai,centro,oeste,shangai,china,asia
sLPotosi,norte,oeste,sLPotosi,mexico,america
smithers,sur,oeste,britishCol,canada,america
stJohn,norte,este,newFoundLand,canada,america
sudbury,sur,este,ontario,canada,america
tampa,sur,este,florida,usa,america
tampico,norte,este,tamaulipas,mexico,america
tampico,norte,oeste,tamaulipas,mexico,america
